"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","np0000094290",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Jun 2026 16:55:14 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-06 16:55:14,,976704,1447712,167868,5220452,,,,,,,1.510,1.160,0.710,3,0,,,,10,6,0,17,0
09-06 16:55:15,24.667,19.933,53.071,0.249,0,1015480,1408696,167944,5220576,20015.577,6404.426,0,7167.855,0,390.684,5880,4577,1.510,1.160,0.710,2,0,240.191,0,0,10,5,0,17,1
09-06 16:55:16,23.591,20.830,54.209,0.502,0.251,1016944,1406788,168104,5220868,50142.492,13934.772,0,1594.152,0,50.194,5298,3445,1.470,1.150,0.710,2,0,288.112,0,0,10,4,0,17,2
09-06 16:55:17,31.351,19.408,46.778,0.498,0,1022256,1400964,168224,5221532,27101.238,9450.101,0,1325.701,0,42.797,6017,4881,1.470,1.150,0.710,2,0,269.719,0,0,10,4,0,17,2
09-06 16:55:18,33.642,18.578,46.948,0.251,0,1013328,1392180,168356,5238064,186240.445,9595.468,0,1341.658,0,35.148,4757,3207,1.470,1.150,0.710,2,0,147.623,0,0,10,4,0,17,2
09-06 16:55:19,39.364,17.330,41.345,0.495,0,1016460,1379152,168692,5246708,12820.448,1604.289,0,1021.992,0,44.564,5101,4868,1.470,1.150,0.710,3,0,126.759,0,0,10,4,0,17,2
09-06 16:55:20,36.795,11.341,50.152,0.252,0,1149072,1234608,169408,5380944,13563.825,1524.229,0,608.885,0,25.202,5247,5599,1.470,1.150,0.710,1,0,69.558,0,0,11,4,0,11,2
09-06 16:55:21,36.517,12.506,50.773,0.250,0,1158724,1209016,169764,5394788,9100.185,1620.745,0,1316.606,0,30.014,4697,14037,1.520,1.170,0.720,2,0,105.048,0,0,11,6,0,12,2
09-06 16:55:22,40.269,8.754,48.273,1.251,0,1168296,1174928,170364,5416332,9290.410,1620.769,0,3045.446,0,123.058,3601,2310,1.520,1.170,0.720,2,0,37.018,0,0,11,6,0,12,2
09-06 16:55:23,35.867,15.194,46.577,0.996,0,1183128,1141508,171024,5431860,13691.169,1614.008,0,2052.380,0,64.760,4668,2881,1.520,1.170,0.720,2,0,144.464,0,0,11,8,0,13,2
